user_id,age,gender,location,registration_date,last_login_date,subscription_type,subscription_start_date,subscription_end_date,payment_amount,payment_date,engagement_score,activity_level,device_type,app_version,purchase_category,purchase_amount,purchase_date,revenue_source,referrer
1,49,Female,2nd Floor,8/17/2020,1/2/2020,pro,3/12/2020,5/8/2021,656.48,9/30/2021,78,high,Philips,0.3.8,fitness equipment,233.58,12/27/2020,in-app purchases,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20"
2,21,Male,Suite 14,8/7/2020,7/11/2021,pro,10/30/2021,12/13/2021,24.49,6/27/2020,7,high,O2,5.45,healthy snacks,428.17,2/21/2021,ads,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.8 (KHTML, like Gecko) Chrome/16.0.912.63 Safari/535.8"
3,49,Polygender,Room 643,1/9/2020,9/19/2020,basic,3/24/2020,1/18/2020,500.86,8/6/2021,12,low,Sony,0.18,supplements,128.16,2/16/2021,ads,"Mozilla/5.0 ArchLinux (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41 Safari/535.1"
4,77,Male,Suite 10,6/7/2020,12/4/2020,premium,5/5/2020,6/13/2020,465.65,11/28/2020,3,low,Wiko,8.8.5,healthy snacks,172.49,2/8/2020,in-app purchases,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.186 Safari/535.1"
5,77,Female,PO Box 62914,6/25/2021,9/3/2020,pro,2/14/2020,3/1/2020,252.91,5/6/2021,94,low,Sony,0.11,healthy snacks,36.2,10/17/2021,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 6.1; es-ES) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0 Safari/533.16"
6,53,Male,Room 1878,3/31/2021,2/6/2021,basic,8/16/2021,12/3/2020,842.62,9/22/2020,84,low,Xiaomi,2.2.2,healthy snacks,230.42,11/3/2021,subscription fees,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20130406 Firefox/23.0
7,87,Female,Apt 576,6/19/2020,12/4/2020,pro,10/26/2020,7/10/2021,871.43,7/17/2020,86,medium,BLU,0.5.9,fitness equipment,355.54,4/15/2021,ads,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.812.0 Safari/535.1"
8,46,Female,20th Floor,3/4/2021,12/29/2021,premium,4/5/2020,8/5/2020,465.26,6/7/2020,82,low,Samsung,0.5.2,supplements,40.41,3/1/2021,subscription fees,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.11 (KHTML, like Gecko) Ubuntu/11.04 Chromium/17.0.963.56 Chrome/17.0.963.56 Safari/535.11"
9,65,Non-binary,PO Box 54448,1/12/2020,1/23/2020,premium,10/17/2021,3/15/2020,636.02,7/8/2020,60,low,Icemobile,3.3.6,fitness equipment,453.68,12/4/2020,ads,"Mozilla/5.0 (X11; CrOS i686 4319.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36"
10,74,Female,Suite 58,12/11/2021,1/30/2021,basic,10/7/2021,8/24/2021,28.23,12/28/2020,63,high,Allview,4.3,fitness equipment,373.73,2/5/2020,in-app purchases,"Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/5.0.1 Safari/533.17.8"
11,81,Female,Apt 1102,7/4/2021,1/3/2021,pro,11/30/2021,9/25/2021,263.73,12/27/2020,84,medium,Vodafone,0.88,healthy snacks,316.32,5/5/2020,subscription fees,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:27.0) Gecko/20121011 Firefox/27.0
12,65,Male,PO Box 85085,10/7/2021,1/5/2020,premium,3/28/2021,10/29/2021,754.28,10/24/2020,58,medium,BLU,3.25,fitness equipment,191.04,5/22/2021,in-app purchases,"Mozilla/5.0 (Windows; U; Windows NT 6.1; sv-SE) AppleWebKit/533.19.4 (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
13,46,Male,PO Box 68927,6/12/2021,4/16/2021,pro,7/9/2020,10/2/2020,943.49,11/26/2021,15,high,Haier,0.76,healthy snacks,223.42,1/31/2021,ads,"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.82 Safari/534.16"
14,54,Male,Room 1789,1/14/2020,7/2/2021,pro,6/24/2020,4/18/2020,20.57,9/30/2020,29,medium,Allview,9.42,fitness equipment,449.84,12/18/2021,subscription fees,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.45 Safari/535.19"
15,26,Male,Apt 640,1/6/2020,5/11/2021,premium,4/6/2021,7/14/2020,640.81,2/10/2020,10,low,Plum,0.99,supplements,259.36,9/6/2021,subscription fees,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:23.0) Gecko/20131011 Firefox/23.0
16,40,Male,Apt 1221,6/27/2020,1/22/2021,basic,6/28/2020,10/16/2021,522.35,3/4/2021,75,medium,Lenovo,0.15,fitness equipment,154.82,1/24/2020,subscription fees,Mozilla/6.0 (Windows NT 6.2; WOW64; rv:16.0.1) Gecko/20121011 Firefox/16.0.1
17,77,Male,Apt 731,8/28/2020,2/20/2021,premium,2/9/2021,2/4/2021,63.59,7/27/2020,18,high,Honor,0.4.6,fitness equipment,125.46,8/6/2020,subscription fees,"Mozilla/5.0 (Windows; U; Windows NT 6.1; ko-KR) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
18,24,Male,PO Box 42341,3/13/2021,1/20/2021,pro,3/24/2021,8/13/2020,706.36,5/26/2021,92,medium,Asus,8.55,healthy snacks,361.69,6/11/2021,subscription fees,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130328 Firefox/21.0
19,44,Male,Apt 158,2/7/2021,6/4/2020,pro,9/16/2020,12/12/2020,892.78,2/1/2021,20,low,LG,0.9.6,healthy snacks,72.01,7/20/2020,ads,Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0
